dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.034663,1.225291,0.000056,0.005556,0.277778,13.888889,6.280547
0.020000,0.034649,1.225291,0.000070,0.000716,-0.241991,-25.988425,6.280562
0.020000,0.034617,1.225291,0.000102,0.001611,0.044740,14.336512,6.280597
0.020000,0.034559,1.225291,0.000159,0.002864,0.062651,0.895586,6.280658
0.020000,0.034470,1.225291,0.000249,0.004475,0.080587,0.896807,6.280754
0.020000,0.034341,1.225292,0.000378,0.006447,0.098564,0.898807,6.280891
0.020000,0.034165,1.225292,0.000553,0.008779,0.116599,0.901784,6.281079
0.020000,0.033936,1.225292,0.000783,0.011473,0.134718,0.905935,6.281325
0.020000,0.033645,1.225293,0.001073,0.014532,0.152947,0.911461,6.281635
0.020000,0.033286,1.225293,0.001433,0.017958,0.171318,0.918567,6.282020
0.020000,0.032851,1.225294,0.001868,0.021756,0.189868,0.927462,6.282485
0.020000,0.032332,1.225294,0.002386,0.025928,0.208635,0.938359,6.283040
0.020000,0.039025,1.225296,0.009079,0.334615,15.434347,761.285601,0.000507
0.020000,0.049212,1.225305,0.019266,0.509368,8.737619,-334.836375,0.001267
0.020000,0.060887,1.225325,0.030940,0.583726,3.717928,-250.984578,0.002141
0.020000,0.074174,1.225360,0.044227,0.664351,4.031225,15.664872,0.003140
0.020000,0.089177,1.225415,0.059231,0.750175,4.291201,12.998772,0.004274
0.020000,0.105968,1.225498,0.076022,0.839545,4.468527,8.866325,0.005551
0.020000,0.124697,1.225615,0.094752,0.936507,4.848069,18.977109,0.006985
0.020000,0.145418,1.225777,0.115473,1.036049,4.977141,6.453562,0.008582
0.020000,0.168254,1.225993,0.138310,1.141859,5.290469,15.666440,0.010358
0.020000,0.193313,1.226277,0.163371,1.253054,5.559765,13.464793,0.012324
0.020000,0.220671,1.226644,0.190732,1.368018,5.748174,9.420456,0.014492
0.020000,0.250433,1.227110,0.220497,1.488264,6.012314,13.206959,0.016876
0.020000,0.282700,1.227697,0.252769,1.613630,6.268298,12.799227,0.019492
0.020000,0.317519,1.228426,0.287596,1.741341,6.385549,5.862550,0.022352
0.020000,0.354881,1.229319,0.324969,1.868611,6.363519,-1.101517,0.025465
0.020000,0.394771,1.230402,0.364873,1.995236,6.331218,-1.615028,0.028839
0.020000,0.437171,1.231702,0.407293,2.121002,6.288311,-2.145359,0.032485
0.020000,0.482069,1.233250,0.452218,2.246227,6.261243,-1.353398,0.036415
0.020000,0.529485,1.235077,0.499669,2.372541,6.315707,2.723176,0.040644
0.020000,0.579344,1.237218,0.549574,2.495256,6.135744,-8.998111,0.045181
0.020000,0.631695,1.239712,0.601984,2.620533,6.263866,6.406078,0.050048
0.020000,0.686470,1.242598,0.656835,2.742550,6.100828,-8.151917,0.055258
0.020000,0.743656,1.245920,0.714118,2.864108,6.077918,-1.145474,0.060829
0.020000,0.803237,1.249726,0.773820,2.985142,6.051704,-1.310708,0.066785
0.020000,0.865192,1.254067,0.835927,3.105336,6.009691,-2.100634,0.073147
0.020000,0.929490,1.258997,0.900414,3.224353,5.950864,-2.941350,0.079941
0.020000,0.996094,1.264575,0.967251,3.341837,5.874202,-3.833093,0.087194
0.020000,1.064956,1.270862,1.036399,3.457411,5.778690,-4.775629,0.094936
0.020000,1.136036,1.277925,1.107829,3.571495,5.704205,-3.724251,0.103201
0.020000,1.209310,1.285839,1.181530,3.685038,5.677146,-1.352955,0.112027
0.020000,1.284701,1.294678,1.257437,3.795362,5.516217,-8.046454,0.121454
0.020000,1.362150,1.304525,1.335510,3.903642,5.413978,-5.111915,0.131526
0.020000,1.441603,1.315468,1.415713,4.010137,5.324764,-4.460738,0.142295
0.020000,1.522988,1.327603,1.497998,4.114247,5.205475,-5.964410,0.153818
0.020000,1.606219,1.341030,1.582304,4.215326,5.053975,-7.575040,0.166154
0.020000,1.691189,1.355853,1.668558,4.312692,4.868272,-9.285124,0.179372
0.020000,1.777789,1.372185,1.756684,4.406286,4.679738,-9.426698,0.193546
0.020000,1.865920,1.390150,1.846627,4.497180,4.544684,-6.752682,0.208762
0.020000,1.955432,1.409872,1.938286,4.582961,4.289049,-12.781793,0.225113
0.020000,2.046171,1.431484,2.031564,4.663855,4.044682,-12.218328,0.242699
0.020000,2.137965,1.455126,2.126353,4.739495,3.782036,-13.132319,0.261635
0.020000,2.230621,1.480942,2.222539,4.809280,3.489232,-14.640196,0.282044
0.020000,2.323940,1.509089,2.320010,4.873533,3.212666,-13.828283,0.304067
0.020000,2.417660,1.539713,2.418606,4.929833,2.814971,-19.884760,0.327847
