dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.032196,0.290294,0.000056,0.005556,0.277778,13.888889,6.280547
0.020000,0.032196,0.290294,0.000278,0.016667,0.555556,13.888889,6.280562
0.020000,0.032196,0.290294,0.000778,0.033333,0.833333,13.888889,6.280597
0.020000,0.032196,0.290294,0.001667,0.055556,1.111111,13.888889,6.280658
0.020000,0.032196,0.290294,0.003056,0.083333,1.388889,13.888889,6.280754
0.020000,0.032196,0.290294,0.005056,0.116667,1.666667,13.888889,6.280891
0.020000,0.032196,0.290294,0.007778,0.155556,1.944444,13.888889,6.281079
0.020000,0.032196,0.290294,0.011333,0.200000,2.222222,13.888889,6.281325
0.020000,0.032196,0.290294,0.015833,0.250000,2.500000,13.888889,6.281635
0.020000,0.032196,0.290294,0.021389,0.305556,2.777778,13.888889,6.282020
0.020000,0.032196,0.290294,0.028111,0.366667,3.055556,13.888889,6.282485
0.020000,0.032196,0.290294,0.036111,0.433333,3.333333,13.888889,6.283040
0.020000,0.039499,0.290296,0.045500,0.505556,3.611111,13.888889,0.000507
0.020000,0.050397,0.290306,0.056389,0.583333,3.888889,13.888889,0.001267
0.020000,0.062888,0.290327,0.068889,0.666667,4.166667,13.888889,0.002141
0.020000,0.077109,0.290364,0.083111,0.755556,4.444444,13.888889,0.003140
0.020000,0.093173,0.290424,0.099167,0.850000,4.722222,13.888889,0.004274
0.020000,0.111158,0.290512,0.117167,0.950000,5.000000,13.888889,0.005551
0.020000,0.131228,0.290638,0.137222,1.055556,5.277778,13.888889,0.006985
0.020000,0.153442,0.290811,0.159444,1.166667,5.555556,13.888889,0.008582
0.020000,0.177938,0.291043,0.183944,1.283333,5.833333,13.888889,0.010358
0.020000,0.204836,0.291348,0.210833,1.405556,6.111111,13.888889,0.012324
0.020000,0.234221,0.291742,0.240222,1.533333,6.388889,13.888889,0.014492
0.020000,0.266211,0.292244,0.272222,1.666667,6.666667,13.888889,0.016876
0.020000,0.300924,0.292875,0.306944,1.805556,6.944444,13.888889,0.019492
0.020000,0.338417,0.293659,0.344444,1.944444,6.944444,-0.000000,0.022352
0.020000,0.378688,0.294622,0.384722,2.083333,6.944444,0.000000,0.025465
0.020000,0.421732,0.295791,0.427778,2.222222,6.944444,0.000000,0.028839
0.020000,0.467540,0.297196,0.473611,2.361111,6.944444,-0.000000,0.032485
0.020000,0.516109,0.298869,0.522222,2.500000,6.944444,0.000000,0.036415
0.020000,0.567476,0.300849,0.573611,2.638889,6.944444,0.000000,0.040644
0.020000,0.621574,0.303172,0.627778,2.777778,6.944444,0.000000,0.045181
0.020000,0.678471,0.305882,0.684722,2.916667,6.944444,0.000000,0.050048
0.020000,0.738110,0.309025,0.744444,3.055556,6.944444,-0.000000,0.055258
0.020000,0.800496,0.312649,0.806944,3.194444,6.944444,-0.000000,0.060829
0.020000,0.865634,0.316811,0.872222,3.333333,6.944444,0.000000,0.066785
0.020000,0.933523,0.321567,0.940278,3.472222,6.944444,-0.000000,0.073147
0.020000,1.004155,0.326983,1.011111,3.611111,6.944444,0.000000,0.079941
0.020000,1.077517,0.333127,1.084722,3.750000,6.944444,-0.000000,0.087194
0.020000,1.153588,0.340072,1.161111,3.888889,6.944444,0.000000,0.094936
0.020000,1.232357,0.347900,1.240278,4.027778,6.944444,0.000000,0.103201
0.020000,1.313837,0.356700,1.322222,4.166667,6.944444,-0.000000,0.112027
0.020000,1.397981,0.366566,1.406944,4.305556,6.944444,0.000000,0.121454
0.020000,1.484773,0.377601,1.494444,4.444444,6.944444,0.000000,0.131526
0.020000,1.574201,0.389918,1.584722,4.583333,6.944444,0.000000,0.142295
0.020000,1.666241,0.403643,1.677778,4.722222,6.944444,-0.000000,0.153818
0.020000,1.760859,0.418907,1.773611,4.861111,6.944444,0.000000,0.166154
0.020000,1.858004,0.435854,1.872222,5.000000,6.944444,-0.000000,0.179372
0.020000,1.957626,0.454643,1.973611,5.138889,6.944444,0.000000,0.193546
0.020000,2.059698,0.475450,2.077778,5.277778,6.944444,0.000000,0.208762
0.020000,2.164139,0.498463,2.184722,5.416667,6.944444,-0.000000,0.225113
0.020000,2.270874,0.523886,2.294444,5.555556,6.944444,0.000000,0.242699
0.020000,2.379812,0.551945,2.406944,5.694444,6.944444,0.000000,0.261635
0.020000,2.490850,0.582886,2.522222,5.833333,6.944444,0.000000,0.282044
0.020000,2.603882,0.616980,2.640278,5.972222,6.944444,-0.000000,0.304067
0.020000,2.718735,0.654513,2.761111,6.111111,6.944444,0.000000,0.327847
0.020000,2.835242,0.695801,2.884722,6.250000,6.944444,-0.000000,0.353545
0.020000,2.953195,0.741186,3.011111,6.388889,6.944444,0.000000,0.381332
0.020000,3.072342,0.791030,3.140278,6.527778,6.944444,0.000000,0.411382
0.020000,3.192412,0.845730,3.272222,6.666667,6.944444,0.000000,0.443880
0.020000,3.313047,0.905690,3.406944,6.805556,6.944444,-0.000000,0.479001
0.020000,3.433846,0.971335,3.544444,6.944444,6.944444,0.000000,0.516906
0.020000,3.554368,1.043112,3.684722,7.083333,6.944444,-0.000000,0.557739
0.020000,3.674058,1.121440,3.827778,7.222222,6.944444,0.000000,0.601586
0.020000,3.792324,1.206741,3.973611,7.361111,6.944444,-0.000000,0.648479
0.020000,3.908493,1.299393,4.122222,7.500000,6.944444,0.000000,0.698359
0.020000,4.021838,1.399724,4.273611,7.638889,6.944444,0.000000,0.751062
0.020000,4.131578,1.507974,4.427778,7.777778,6.944444,0.000000,0.806289
0.020000,4.236914,1.624286,4.584722,7.916667,6.944444,0.000000,0.863608
0.020000,4.337054,1.748685,4.744444,8.055556,6.944444,-0.000000,0.922459
0.020000,4.431250,1.881067,4.906944,8.194444,6.944444,0.000000,0.982175
0.020000,4.518833,2.021201,5.072222,8.333333,6.944444,-0.000000,1.042022
0.020000,4.599217,2.168692,5.240222,8.466667,6.666667,-13.888889,1.101235
0.020000,4.671943,2.323000,5.410833,8.594444,6.388889,-13.888889,1.159075
0.020000,4.736715,2.483511,5.583944,8.716667,6.111111,-13.888889,1.214898
0.020000,4.793405,2.649579,5.759444,8.833333,5.833333,-13.888889,1.268193
0.020000,4.842034,2.820557,5.937222,8.944444,5.555556,-13.888889,1.318593
0.020000,4.882747,2.995819,6.117167,9.050000,5.277778,-13.888889,1.365871
0.020000,4.915791,3.174776,6.299167,9.150000,5.000000,-13.888889,1.409923
0.020000,4.941486,3.356903,6.483111,9.244444,4.722222,-13.888889,1.450750
0.020000,4.960202,3.541725,6.668889,9.333333,4.444444,-13.888889,1.488426
0.020000,4.972338,3.728823,6.856389,9.416667,4.166667,-13.888889,1.523080
0.020000,4.978306,3.917833,7.045500,9.494444,3.888889,-13.888889,1.554873
0.020000,4.978522,4.108436,7.236111,9.566667,3.611111,-13.888889,1.583982
0.020000,4.973395,4.300361,7.428111,9.633333,3.333333,-13.888889,1.610593
0.020000,4.963322,4.493371,7.621389,9.694444,3.055556,-13.888889,1.634888
0.020000,4.948684,4.687262,7.815833,9.750000,2.777778,-13.888889,1.657044
0.020000,4.929847,4.881849,8.011333,9.800000,2.500000,-13.888889,1.677226
0.020000,4.907158,5.076974,8.207778,9.844444,2.222222,-13.888889,1.695585
0.020000,4.880945,5.272504,8.405056,9.883333,1.944444,-13.888889,1.712263
0.020000,4.851521,5.468301,8.603056,9.916667,1.666667,-13.888889,1.727387
0.020000,4.819183,5.664261,8.801667,9.944444,1.388889,-13.888889,1.741072
0.020000,4.784210,5.860279,9.000778,9.966667,1.111111,-13.888889,1.753422
0.020000,4.746870,6.056250,9.200278,9.983333,0.833333,-13.888889,1.764529
0.020000,4.707415,6.252092,9.400056,9.994444,0.555556,-13.888889,1.774475
0.020000,4.666088,6.447718,9.600000,10.000000,0.277778,-13.888889,1.783334
0.020000,4.623118,6.643047,9.800000,10.000000,0.000000,-13.888889,1.791171
0.020000,4.578713,6.838056,10.000000,10.000000,0.000000,0.000000,1.798045
0.020000,4.533058,7.032775,10.200000,10.000000,0.000000,0.000000,1.804010
0.020000,4.486327,7.227239,10.400000,10.000000,0.000000,0.000000,1.809109
0.020000,4.438686,7.421483,10.600000,10.000000,0.000000,0.000000,1.813381
0.020000,4.390294,7.615541,10.800000,10.000000,0.000000,0.000000,1.816856
0.020000,4.341302,7.809448,11.000000,10.000000,0.000000,0.000000,1.819560
0.020000,4.291860,8.003240,11.200000,10.000000,0.000000,0.000000,1.821512
0.020000,4.242111,8.196954,11.400000,10.000000,0.000000,0.000000,1.822725
0.020000,4.192198,8.390626,11.600000,10.000000,0.000000,0.000000,1.823207
0.020000,4.142262,8.584292,11.800000,10.000000,0.000000,0.000000,1.822963
0.020000,4.092444,8.777989,12.000000,10.000000,0.000000,0.000000,1.821990
0.020000,4.042885,8.971752,12.200000,10.000000,0.000000,0.000000,1.820281
0.020000,3.993730,9.165618,12.400000,10.000000,0.000000,0.000000,1.817825
0.020000,3.945125,9.359622,12.600000,10.000000,0.000000,0.000000,1.814605
0.020000,3.897221,9.553801,12.800000,10.000000,0.000000,0.000000,1.810597
0.020000,3.850174,9.748188,13.000000,10.000000,0.000000,0.000000,1.805772
0.020000,3.804149,9.942820,13.200000,10.000000,0.000000,0.000000,1.800095
0.020000,3.759315,10.137730,13.400000,10.000000,0.000000,0.000000,1.793524
0.020000,3.715854,10.332951,13.600000,10.000000,0.000000,0.000000,1.786009
0.020000,3.673959,10.528514,13.800000,10.000000,0.000000,0.000000,1.777490
0.020000,3.633835,10.724448,14.000000,10.000000,0.000000,0.000000,1.767899
0.020000,3.595703,10.920779,14.200000,10.000000,0.000000,0.000000,1.757157
0.020000,3.559805,11.117521,14.399993,9.999313,-0.034370,-1.718477,1.745173
0.020000,3.526409,11.314636,14.599917,9.993070,-0.312147,-13.888889,1.731847
0.020000,3.495812,11.512020,14.799660,9.981271,-0.589925,-13.888889,1.717068
0.020000,3.468329,11.709568,14.999112,9.963917,-0.867703,-13.888889,1.700713
0.020000,3.444297,11.907155,15.198161,9.941007,-1.145481,-13.888889,1.682644
0.020000,3.424072,12.104658,15.396697,9.912542,-1.423258,-13.888889,1.662707
0.020000,3.408038,12.301915,15.594608,9.878522,-1.701036,-13.888889,1.640733
